OBJECTID,Folder,Image,Object,Confidence,frame_idx,Latitude,Longitude,Photo_Link,Field9,Field10,Field11,Field12,Z
618,,image33.jpg,Clear,0,33,31.098155,29.98013,C:\Road_Project\inference_data\nan\image33.jpg,,,,,89.1
619,,image34.jpg,Clear,0,34,31.09815,29.98015833,C:\Road_Project\inference_data\nan\image34.jpg,,,,,89.2
620,,image35.jpg,Crack,0.382357836,35,31.09814667,29.98018667,C:\Road_Project\inference_data\nan\image35.jpg,,,,,89.4
621,,image36.jpg,Clear,0,36,31.09814667,29.98021,C:\Road_Project\inference_data\nan\image36.jpg,,,,,89.4
622,,image37.jpg,Clear,0,37,31.09814,29.98023167,C:\Road_Project\inference_data\nan\image37.jpg,,,,,89.6
623,,image38.jpg,Crack,0.418002576,38,31.09813333,29.98025333,C:\Road_Project\inference_data\nan\image38.jpg,,,,,89.9
624,,image38.jpg,Crack,0.393892169,38,31.09810833,29.98027833,C:\Road_Project\inference_data\nan\image38.jpg,,,,,89.5
625,,image38.jpg,Crack,0.383430004,38,31.0981,29.9803,C:\Road_Project\inference_data\nan\image38.jpg,,,,,89.3
626,,image38.jpg,Crack,0.355163306,38,31.09808167,29.980325,C:\Road_Project\inference_data\nan\image38.jpg,,,,,89.1
627,,image38.jpg,Crack,0.327661991,38,31.09806833,29.98035333,C:\Road_Project\inference_data\nan\image38.jpg,,,,,88.9
628,,image38.jpg,Crack,0.251943439,38,31.09805833,29.98037833,C:\Road_Project\inference_data\nan\image38.jpg,,,,,88.7
629,,image38.jpg,Crack,0.206589863,38,31.09805167,29.98040167,C:\Road_Project\inference_data\nan\image38.jpg,,,,,88.7
630,,image39.jpg,Clear,0,39,31.09805,29.98042167,C:\Road_Project\inference_data\nan\image39.jpg,,,,,88.5
631,,image40.jpg,Crack,0.708661556,40,31.098055,29.98043333,C:\Road_Project\inference_data\nan\image40.jpg,,,,,87.9
632,,image41.jpg,Clear,0,41,31.09806667,29.98044333,C:\Road_Project\inference_data\nan\image41.jpg,,,,,87.3
633,,image42.jpg,Clear,0,42,31.09809,29.98045667,C:\Road_Project\inference_data\nan\image42.jpg,,,,,87.2
634,,image43.jpg,Lamp_Post,0.535241723,43,31.09811667,29.98047,C:\Road_Project\inference_data\nan\image43.jpg,,,,,87
635,,image43.jpg,Lamp_Post,0.464765161,43,31.09815167,29.980485,C:\Road_Project\inference_data\nan\image43.jpg,,,,,87
636,,image43.jpg,Lamp_Post,0.452037692,43,31.09819167,29.98049833,C:\Road_Project\inference_data\nan\image43.jpg,,,,,86.4
637,,image43.jpg,Lamp_Post,0.306441307,43,31.098225,29.98050667,C:\Road_Project\inference_data\nan\image43.jpg,,,,,86.2
638,,image43.jpg,Lamp_Post,0.276105732,43,31.09825,29.98051333,C:\Road_Project\inference_data\nan\image43.jpg,,,,,86.3
639,,image44.jpg,Clear,0,44,31.098265,29.98052167,C:\Road_Project\inference_data\nan\image44.jpg,,,,,86.6
640,,image45.jpg,Clear,0,45,31.09828167,29.98052667,C:\Road_Project\inference_data\nan\image45.jpg,,,,,86.9
641,,image46.jpg,Clear,0,46,31.09829833,29.98053167,C:\Road_Project\inference_data\nan\image46.jpg,,,,,87.1
642,,image47.jpg,Clear,0,47,31.09831667,29.98053833,C:\Road_Project\inference_data\nan\image47.jpg,,,,,87.4
643,,image48.jpg,Crack,0.212507203,48,31.09833333,29.98054667,C:\Road_Project\inference_data\nan\image48.jpg,,,,,87.3
644,,image49.jpg,Crack,0.506156147,49,31.09835,29.98055333,C:\Road_Project\inference_data\nan\image49.jpg,,,,,87.4
645,,image50.jpg,Crack,0.457563668,50,31.09836833,29.98055667,C:\Road_Project\inference_data\nan\image50.jpg,,,,,87.5
646,,image50.jpg,Lamp_Post,0.446894228,50,31.09838167,29.98055833,C:\Road_Project\inference_data\nan\image50.jpg,,,,,87.6
647,,image50.jpg,Lamp_Post,0.342988312,50,31.098395,29.98056167,C:\Road_Project\inference_data\nan\image50.jpg,,,,,87.4
648,,image50.jpg,Lamp_Post,0.266658366,50,31.09840833,29.980565,C:\Road_Project\inference_data\nan\image50.jpg,,,,,87.1
649,,image50.jpg,Crack,0.214192599,50,31.09842167,29.98057167,C:\Road_Project\inference_data\nan\image50.jpg,,,,,86.8
650,,image51.jpg,Clear,0,51,31.09843833,29.98056833,C:\Road_Project\inference_data\nan\image51.jpg,,,,,86.5
651,,image52.jpg,Clear,0,52,31.09844833,29.98056667,C:\Road_Project\inference_data\nan\image52.jpg,,,,,86.4
652,,image53.jpg,Lamp_Post,0.318716317,53,31.09846833,29.98056,C:\Road_Project\inference_data\nan\image53.jpg,,,,,86.1
653,,image54.jpg,Clear,0,54,31.09848333,29.980555,C:\Road_Project\inference_data\nan\image54.jpg,,,,,86.1
654,,image55.jpg,Lamp_Post,0.340389252,55,31.09849333,29.98054667,C:\Road_Project\inference_data\nan\image55.jpg,,,,,85.9
655,,image56.jpg,Clear,0,56,31.09850333,29.98053833,C:\Road_Project\inference_data\nan\image56.jpg,,,,,85.9
656,,image57.jpg,Clear,0,57,31.09851333,29.98052667,C:\Road_Project\inference_data\nan\image57.jpg,,,,,85.4
657,,image58.jpg,Crack,0.369235337,58,31.09852167,29.98051333,C:\Road_Project\inference_data\nan\image58.jpg,,,,,85
658,,image59.jpg,Crack,0.363693684,59,31.09853,29.9805,C:\Road_Project\inference_data\nan\image59.jpg,,,,,84.5
659,,image60.jpg,Lamp_Post,0.537812829,60,31.09854167,29.98047667,C:\Road_Project\inference_data\nan\image60.jpg,,,,,84.4
660,,image60.jpg,Lamp_Post,0.523490012,60,31.098555,29.98045,C:\Road_Project\inference_data\nan\image60.jpg,,,,,84.2
661,,image60.jpg,Lamp_Post,0.369330853,60,31.09857,29.98041333,C:\Road_Project\inference_data\nan\image60.jpg,,,,,84.1
662,,image61.jpg,Lamp_Post,0.336460292,61,31.09858667,29.98037,C:\Road_Project\inference_data\nan\image61.jpg,,,,,84.3
663,,image62.jpg,Lamp_Post,0.392949849,62,31.09860167,29.980325,C:\Road_Project\inference_data\nan\image62.jpg,,,,,84.4
664,,image62.jpg,Lamp_Post,0.292648971,62,31.09861667,29.98027667,C:\Road_Project\inference_data\nan\image62.jpg,,,,,84.4
665,,image62.jpg,speed bump,0.262467921,62,31.09863,29.980225,C:\Road_Project\inference_data\nan\image62.jpg,,,,,84.5
666,,image62.jpg,speed bump,0.254414797,62,31.09864667,29.98016667,C:\Road_Project\inference_data\nan\image62.jpg,,,,,84.6
667,,image63.jpg,Clear,0,63,31.09866667,29.98011167,C:\Road_Project\inference_data\nan\image63.jpg,,,,,85.1
668,,image64.jpg,Crack,0.266075224,64,31.09868667,29.98006167,C:\Road_Project\inference_data\nan\image64.jpg,,,,,85.1
669,,image65.jpg,Clear,0,65,31.09870833,29.98001333,C:\Road_Project\inference_data\nan\image65.jpg,,,,,85.7
670,,image66.jpg,Clear,0,66,31.09873167,29.97996333,C:\Road_Project\inference_data\nan\image66.jpg,,,,,86.4
671,,image67.jpg,Clear,0,67,31.098755,29.97991,C:\Road_Project\inference_data\nan\image67.jpg,,,,,87.1
672,,image68.jpg,Clear,0,68,31.09877833,29.97984667,C:\Road_Project\inference_data\nan\image68.jpg,,,,,88.3
673,,image69.jpg,Clear,0,69,31.09881333,29.97977333,C:\Road_Project\inference_data\nan\image69.jpg,,,,,89.5
674,,image70.jpg,Clear,0,70,31.09884667,29.979695,C:\Road_Project\inference_data\nan\image70.jpg,,,,,91.2
675,,image71.jpg,Lamp_Post,0.337109566,71,31.098885,29.97962167,C:\Road_Project\inference_data\nan\image71.jpg,,,,,91.9
676,,image71.jpg,Lamp_Post,0.258702397,71,31.09892333,29.97953833,C:\Road_Project\inference_data\nan\image71.jpg,,,,,92.9
677,,image71.jpg,Lamp_Post,0.244581774,71,31.09896167,29.97945667,C:\Road_Project\inference_data\nan\image71.jpg,,,,,93.1
678,,image72.jpg,Clear,0,72,31.09899333,29.97937667,C:\Road_Project\inference_data\nan\image72.jpg,,,,,93.4
679,,image73.jpg,Lamp_Post,0.596536219,73,31.09901833,29.97930833,C:\Road_Project\inference_data\nan\image73.jpg,,,,,94
680,,image73.jpg,Lamp_Post,0.516875029,73,31.09904167,29.97924667,C:\Road_Project\inference_data\nan\image73.jpg,,,,,94.7
681,,image73.jpg,Lamp_Post,0.436222076,73,31.09906167,29.97918833,C:\Road_Project\inference_data\nan\image73.jpg,,,,,95.5
682,,image73.jpg,Lamp_Post,0.352680415,73,31.09908833,29.97913167,C:\Road_Project\inference_data\nan\image73.jpg,,,,,96.5
683,,image73.jpg,Lamp_Post,0.23180826,73,31.09911167,29.97907,C:\Road_Project\inference_data\nan\image73.jpg,,,,,96.8
684,,image73.jpg,Lamp_Post,0.226379201,73,31.099135,29.97901167,C:\Road_Project\inference_data\nan\image73.jpg,,,,,98
685,,image73.jpg,Lamp_Post,0.212159023,73,31.09916167,29.97896,C:\Road_Project\inference_data\nan\image73.jpg,,,,,99.5
686,,image74.jpg,Clear,0,74,31.09917667,29.97891167,C:\Road_Project\inference_data\nan\image74.jpg,,,,,100.2
687,,image75.jpg,Lamp_Post,0.379470468,75,31.09918167,29.978875,C:\Road_Project\inference_data\nan\image75.jpg,,,,,99.9
688,,image75.jpg,Lamp_Post,0.260846853,75,31.09919167,29.97884833,C:\Road_Project\inference_data\nan\image75.jpg,,,,,99.1
689,,image76.jpg,Clear,0,76,31.0992,29.97882333,C:\Road_Project\inference_data\nan\image76.jpg,,,,,98.7
690,,image77.jpg,Clear,0,77,31.09921,29.978805,C:\Road_Project\inference_data\nan\image77.jpg,,,,,99.3
691,,image78.jpg,Clear,0,78,31.09922333,29.97879833,C:\Road_Project\inference_data\nan\image78.jpg,,,,,100
692,,image79.jpg,Clear,0,79,31.099235,29.97879167,C:\Road_Project\inference_data\nan\image79.jpg,,,,,101.2
693,,image80.jpg,Lamp_Post,0.430740029,80,31.09924667,29.97877667,C:\Road_Project\inference_data\nan\image80.jpg,,,,,102.2
694,,image80.jpg,Lamp_Post,0.384999305,80,31.09926333,29.97875167,C:\Road_Project\inference_data\nan\image80.jpg,,,,,103.3
695,,image80.jpg,Lamp_Post,0.365776956,80,31.09927167,29.97872333,C:\Road_Project\inference_data\nan\image80.jpg,,,,,103.5
696,,image80.jpg,Lamp_Post,0.320307612,80,31.09927667,29.97869667,C:\Road_Project\inference_data\nan\image80.jpg,,,,,104
697,,image80.jpg,Lamp_Post,0.303779811,80,31.09929,29.97867167,C:\Road_Project\inference_data\nan\image80.jpg,,,,,104.5
698,,image80.jpg,Lamp_Post,0.28844282,80,31.0993,29.978645,C:\Road_Project\inference_data\nan\image80.jpg,,,,,104.8
699,,image80.jpg,Lamp_Post,0.286177218,80,31.09930167,29.978625,C:\Road_Project\inference_data\nan\image80.jpg,,,,,104.6
700,,image80.jpg,Lamp_Post,0.216612935,80,31.09929667,29.97861167,C:\Road_Project\inference_data\nan\image80.jpg,,,,,104.6
